Latitude,Longitude,Maximum Wind,Minimum Pressure,Low Wind NE,Low Wind SE,Low Wind SW,Low Wind NW,Moderate Wind NE,Moderate Wind SE,Moderate Wind SW,Moderate Wind NW,High Wind NE,High Wind SE,High Wind SW,High Wind NW
31.4,79.4,40,1005,60,90,90,0,0,0,0,0,0,0,0,0
31.3,79,50,992,75,90,60,20,30,30,0,0,0,0,0,0
31.8,78.7,50,993,75,90,50,30,30,30,20,20,0,0,0,0
32.4,78.2,60,987,75,90,50,30,30,30,20,20,0,0,0,0
33,77.4,70,983,75,90,50,40,30,30,30,20,20,20,20,0
34.2,76.4,85,974,75,90,50,40,30,50,30,20,20,20,20,0
35.3,75.2,85,972,90,90,75,50,60,50,30,30,30,30,20,15
36,73.7,80,974,80,100,75,50,40,50,40,20,15,40,30,15
36.8,72.1,80,973,60,120,75,75,40,75,50,50,20,50,30,15
37.3,70.2,85,973,60,120,75,75,40,75,50,50,20,50,30,15
37.8,68.3,95,965,90,150,125,75,50,75,50,50,25,50,25,15
38.5,66,105,957,80,150,125,75,50,80,60,50,30,50,30,20
39.5,63.1,105,957,80,225,200,75,50,80,60,50,30,50,30,20
40.8,59.6,100,962,80,300,300,75,50,80,60,50,30,50,30,20
42.7,55,90,970,75,300,300,75,50,75,50,30,25,50,25,0
44.5,49.3,75,978,75,300,300,75,50,75,50,30,25,50,25,0
46.1,44.2,65,984,75,300,300,75,50,75,50,30,25,50,25,0
47,37.5,50,987,75,300,300,75,50,75,50,30,0,0,0,0
22.5,87.6,35,1008,25,25,25,25,0,0,0,0,0,0,0,0
22.9,88.3,40,1007,25,25,25,25,0,0,0,0,0,0,0,0
23.1,89,45,1006,25,25,25,25,0,0,0,0,0,0,0,0
23.4,89.8,45,1005,25,25,25,25,0,0,0,0,0,0,0,0
24,90.6,50,1002,25,25,25,25,15,15,15,15,0,0,0,0
24.4,90.6,45,1003,25,40,40,25,0,0,0,0,0,0,0,0
24.7,90.6,40,1003,25,25,25,25,0,0,0,0,0,0,0,0
25.2,90.6,40,1003,35,45,25,25,0,0,0,0,0,0,0,0
25.7,90.4,45,1001,45,60,25,25,0,0,0,0,0,0,0,0
26.4,89.6,55,1001,45,60,25,25,15,15,15,15,0,0,0,0
27,88.8,50,1007,45,60,25,25,15,15,15,15,0,0,0,0
27.7,88.1,45,1008,45,60,25,25,0,0,0,0,0,0,0,0
29,86.1,45,1002,45,60,25,25,0,0,0,0,0,0,0,0
13.8,67.6,40,1004,90,50,0,75,0,0,0,0,0,0,0,0
14.9,69.8,45,1000,90,50,0,75,0,0,0,0,0,0,0,0
15.6,71.8,55,999,90,50,0,75,20,0,0,0,0,0,0,0
16,73.7,55,999,90,50,0,75,20,0,0,0,0,0,0,0
16.3,75.4,60,995,90,75,0,75,40,0,0,40,0,0,0,0
16.7,76.8,65,993,90,75,0,75,40,0,0,40,25,0,0,25
17.4,78.1,65,992,90,75,30,75,40,0,0,40,25,0,0,25
18.2,79.3,75,988,90,75,30,75,50,20,0,40,20,0,0,20
19.2,80.7,80,984,90,90,30,75,50,30,10,40,20,15,10,20
20.5,81.6,90,980,90,90,40,90,60,50,20,40,25,20,10,20
21.7,82.2,90,976,90,90,45,90,60,50,20,40,25,20,10,20
23,82.6,105,966,90,90,45,90,60,50,20,40,25,20,10,20
24.4,82.9,95,969,90,90,75,75,50,50,40,40,25,25,15,15
26.1,82.4,125,947,40,75,75,50,30,40,40,25,20,20,10,10
28.1,81.6,75,970,40,75,40,40,30,40,30,25,20,20,20,10
30.1,80.8,75,993,75,100,40,40,50,75,30,25,25,50,20,10
32.3,79.7,65,988,75,100,40,40,50,75,0,0,25,40,0,0
34.5,78.1,60,1000,75,75,30,30,50,50,15,15,0,0,0,0
36.9,75.9,40,1012,75,75,20,0,0,0,0,0,0,0,0,0
39.3,73.8,35,1014,75,75,20,0,0,0,0,0,0,0,0,0
12.6,24.2,35,1009,45,45,45,45,0,0,0,0,0,0,0,0
12.9,25.5,40,1004,50,50,50,50,0,0,0,0,0,0,0,0
13.2,26.8,45,1004,60,50,50,50,0,0,0,0,0,0,0,0
13.5,28.1,55,994,90,75,75,75,25,25,25,25,0,0,0,0
13.8,29.3,65,987,120,75,75,90,40,40,40,40,20,20,20,20
14.1,30.8,75,981,120,75,75,100,50,40,40,50,25,20,20,25
14.7,32.1,80,978,120,75,75,120,75,40,40,75,25,20,20,25
15.2,33.5,85,975,120,75,75,120,60,40,40,60,25,25,20,25
16,34.8,90,970,100,90,60,100,40,60,30,40,20,20,15,20
16.8,36,90,970,90,90,60,90,40,60,30,40,20,20,15,20
17.7,37.2,90,970,75,90,60,75,60,60,40,40,20,20,20,20
19,38.2,95,964,75,90,60,60,60,60,40,40,25,25,20,20
20.3,38.9,95,965,90,90,60,60,70,70,40,40,25,25,20,20
21.7,39.6,90,970,90,90,60,60,70,70,30,30,25,25,15,15
23.3,40,90,970,90,90,60,60,70,70,30,30,25,25,10,10
24.6,40.3,85,974,90,90,60,60,70,70,30,30,20,20,20,20
25.9,40.6,75,981,90,90,60,60,60,60,40,30,20,20,20,15
27.3,40.3,65,985,90,60,40,60,50,30,20,20,20,20,0,0
28.1,39.8,55,994,90,60,0,60,50,30,0,20,0,0,0,0
28.9,38.9,45,1005,90,60,0,25,0,0,0,0,0,0,0,0
29.3,37.8,40,1007,90,60,0,60,0,0,0,0,0,0,0,0
29.7,37.7,40,1007,90,50,0,40,0,0,0,0,0,0,0,0
11.5,39.8,35,1005,40,20,20,40,0,0,0,0,0,0,0,0
11.9,41.5,40,1003,50,30,30,50,0,0,0,0,0,0,0,0
12.3,42.9,45,1000,60,40,40,60,0,0,0,0,0,0,0,0
12.8,44.5,55,994,65,50,50,65,30,20,20,30,0,0,0,0
13.3,45.8,65,987,70,55,55,70,35,20,20,35,15,0,0,15
13.7,46.8,70,984,75,60,60,75,40,30,30,40,15,0,0,15
14.2,47.8,75,980,75,60,60,75,40,30,30,40,15,15,15,15
14.7,48.5,90,970,80,65,65,80,40,30,30,40,20,15,15,20
15.4,49.3,100,962,90,80,80,90,45,35,35,45,20,20,20,20
15.9,50,100,962,90,80,80,90,45,35,35,45,20,20,20,20
16.6,50.9,100,962,90,90,90,90,50,40,40,50,20,20,20,20
17.2,51.6,105,958,90,90,90,90,50,50,50,50,25,25,25,25
17.7,52.3,115,948,100,90,90,90,60,50,55,60,30,25,30,30
18.1,52.9,115,948,110,100,100,110,65,50,60,65,30,25,30,30
18.4,53.6,115,948,120,100,100,120,65,50,60,65,35,25,30,35
18.6,54.4,115,948,135,110,110,135,70,50,60,70,40,25,30,40
